 kgrid  ValNew  Policy 
    0.85 -51.7743     0.85
    0.86 -50.8195     0.85
    0.87 -49.8808     0.86
    0.88 -48.9942     0.87
    0.89 -48.1576     0.88
     0.9 -47.3455     0.89
    0.91 -46.5585     0.89
    0.92 -45.7852      0.9
    0.93 -45.0374     0.91
    0.94 -44.3097     0.92
    0.95 -43.6009     0.93
    0.96 -42.9096     0.94
    0.97 -42.2364     0.95
    0.98 -41.5795     0.96
    0.99 -40.9391     0.97
       1 -40.3132     0.98
    1.01 -39.6986     0.98
    1.02 -39.0954     0.99
    1.03 -38.5056        1
    1.04  -37.929     1.01
    1.05 -37.3652     1.02
    1.06 -36.8138     1.03
    1.07 -36.2756     1.04
    1.08 -35.7485     1.05
    1.09 -35.2334     1.06
     1.1 -34.7285     1.07
    1.11 -34.2348     1.08
    1.12 -33.7502     1.08
    1.13 -33.2715     1.09
    1.14 -32.8027      1.1
    1.15 -32.3432     1.11
