 kgrid  ValNew  Policy 
    0.85  -38.537     0.87
    0.86 -37.7165     0.88
    0.87 -36.9269     0.89
    0.88 -36.1656      0.9
    0.89 -35.4332     0.91
     0.9 -34.7225     0.92
    0.91 -34.0343     0.93
    0.92 -33.3627     0.93
    0.93 -32.7061     0.94
    0.94 -32.0701     0.95
    0.95 -31.4509     0.96
    0.96 -30.8499     0.97
    0.97 -30.2642     0.98
    0.98 -29.6955     0.99
    0.99 -29.1427        1
       1 -28.6052     1.01
    1.01 -28.0759     1.01
    1.02   -27.56     1.02
    1.03 -27.0577     1.03
    1.04 -26.5674     1.04
    1.05 -26.0899     1.05
    1.06 -25.6252     1.06
    1.07 -25.1723     1.07
    1.08 -24.7315     1.08
    1.09 -24.3014     1.08
     1.1 -23.8767     1.09
    1.11 -23.4626      1.1
    1.12 -23.0584     1.11
    1.13 -22.6641     1.12
    1.14 -22.2797     1.13
    1.15 -21.9045     1.14
