 kgrid  ValNew  Policy 
    0.85 -46.7577     0.89
    0.86 -45.9653      0.9
    0.87  -45.199     0.91
    0.88 -44.4535     0.92
    0.89 -43.7275     0.93
     0.9 -43.0197     0.94
    0.91 -42.3305     0.95
    0.92 -41.6584     0.96
    0.93 -41.0031     0.97
    0.94 -40.3613     0.97
    0.95 -39.7308     0.98
    0.96 -39.1157     0.99
    0.97 -38.5145        1
    0.98 -37.9268     1.01
    0.99 -37.3524     1.02
       1 -36.7906     1.03
    1.01 -36.2424     1.04
    1.02 -35.7057     1.05
    1.03 -35.1812     1.06
    1.04 -34.6673     1.07
    1.05 -34.1649     1.08
    1.06 -33.6724     1.09
    1.07 -33.1904      1.1
    1.08 -32.7178      1.1
    1.09 -32.2514     1.11
     1.1 -31.7946     1.12
    1.11 -31.3484     1.13
    1.12 -30.9128     1.14
    1.13 -30.4933     1.15
    1.14 -30.0981     1.15
    1.15 -29.7451     1.15
