 kgrid  ValNew  Policy 
    0.85 -37.0136     0.89
    0.86 -36.2452      0.9
    0.87 -35.5061     0.91
    0.88  -34.789     0.92
    0.89 -34.0944     0.92
     0.9 -33.4111     0.93
    0.91 -32.7494     0.94
    0.92 -32.1084     0.95
    0.93 -31.4844     0.96
    0.94 -30.8788     0.97
    0.95 -30.2887     0.98
    0.96 -29.7158     0.99
    0.97 -29.1588        1
    0.98 -28.6171        1
    0.99 -28.0834     1.01
       1 -27.5641     1.02
    1.01 -27.0586     1.03
    1.02 -26.5652     1.04
    1.03 -26.0848     1.05
    1.04 -25.6171     1.06
    1.05 -25.1615     1.07
    1.06  -24.718     1.08
    1.07 -24.2855     1.09
    1.08 -23.8599     1.09
    1.09 -23.4435      1.1
     1.1 -23.0373     1.11
    1.11 -22.6409     1.12
    1.12 -22.2544     1.13
    1.13 -21.8774     1.14
    1.14 -21.5097     1.15
    1.15 -21.1567     1.15
