 kgrid  ValNew  Policy 
    0.85 -47.0387     0.86
    0.86 -46.1495     0.87
    0.87 -45.3105     0.88
    0.88  -44.497     0.89
    0.89 -43.6975     0.89
     0.9  -42.926      0.9
    0.91 -42.1783     0.91
    0.92 -41.4526     0.92
    0.93 -40.7463     0.93
    0.94 -40.0582     0.94
    0.95 -39.3897     0.95
    0.96 -38.7378     0.96
    0.97 -38.1025     0.96
    0.98 -37.4761     0.97
    0.99 -36.8648     0.98
       1 -36.2691     0.99
    1.01 -35.6867        1
    1.02 -35.1189     1.01
    1.03 -34.5634     1.02
    1.04  -34.022     1.03
    1.05 -33.4921     1.04
    1.06 -32.9752     1.05
    1.07 -32.4692     1.06
    1.08 -31.9742     1.06
    1.09 -31.4857     1.07
     1.1 -31.0078     1.08
    1.11 -30.5399     1.09
    1.12 -30.0827      1.1
    1.13 -29.6358     1.11
    1.14 -29.1991     1.12
    1.15 -28.7715     1.13
