 kgrid  ValNew  Policy 
    0.85 -48.8486     0.85
    0.86 -47.8939     0.85
    0.87 -46.9575     0.86
    0.88  -46.076     0.87
    0.89 -45.2443     0.88
     0.9 -44.4379     0.89
    0.91 -43.6509     0.89
    0.92 -42.8853      0.9
    0.93 -42.1432     0.91
    0.94 -41.4229     0.92
    0.95 -40.7218     0.93
    0.96 -40.0387     0.94
    0.97 -39.3751     0.95
    0.98 -38.7279     0.96
    0.99 -38.0976     0.97
       1 -37.4752     0.97
    1.01 -36.8677     0.98
    1.02 -36.2756     0.99
    1.03 -35.6968        1
    1.04 -35.1324     1.01
    1.05 -34.5802     1.02
    1.06  -34.042     1.03
    1.07 -33.5152     1.04
    1.08 -33.0013     1.05
    1.09 -32.4982     1.06
     1.1 -32.0028     1.06
    1.11 -31.5167     1.07
    1.12 -31.0412     1.08
    1.13 -30.5757     1.09
    1.14 -30.1207      1.1
    1.15 -29.6759     1.11
