 kgrid  ValNew  Policy 
    0.85  -44.192     0.85
    0.86  -42.952     0.85
    0.87 -41.8757     0.85
    0.88 -40.9378     0.85
    0.89  -40.019     0.86
     0.9 -39.1576     0.87
    0.91 -38.3454     0.88
    0.92 -37.5577     0.88
    0.93 -36.7863     0.89
    0.94 -36.0425      0.9
    0.95  -35.327     0.91
    0.96 -34.6327     0.92
    0.97 -33.9602     0.93
    0.98 -33.3088     0.94
    0.99 -32.6665     0.94
       1 -32.0431     0.95
    1.01 -31.4361     0.96
    1.02 -30.8468     0.97
    1.03 -30.2726     0.98
    1.04 -29.7149     0.99
    1.05 -29.1727        1
    1.06 -28.6424        1
    1.07  -28.121     1.01
    1.08 -27.6138     1.02
    1.09 -27.1198     1.03
     1.1 -26.6377     1.04
    1.11 -26.1681     1.05
    1.12 -25.7109     1.06
    1.13 -25.2655     1.07
    1.14 -24.8274     1.07
    1.15 -24.3981     1.08
