 kgrid  ValNew  Policy 
    0.85 -37.9104     0.85
    0.86 -36.9557     0.85
    0.87 -36.0386     0.86
    0.88 -35.1759     0.87
    0.89  -34.366     0.87
     0.9 -33.5702     0.88
    0.91 -32.8049     0.89
    0.92 -32.0708      0.9
    0.93 -31.3669     0.91
    0.94 -30.6844     0.92
    0.95 -30.0205     0.92
    0.96 -29.3709     0.93
    0.97 -28.7424     0.94
    0.98 -28.1347     0.95
    0.99 -27.5453     0.96
       1 -26.9745     0.97
    1.01 -26.4221     0.98
    1.02 -25.8784     0.98
    1.03 -25.3485     0.99
    1.04 -24.8348        1
    1.05 -24.3352     1.01
    1.06  -23.851     1.02
    1.07 -23.3803     1.03
    1.08 -22.9248     1.03
    1.09 -22.4744     1.04
     1.1 -22.0356     1.05
    1.11 -21.6099     1.06
    1.12 -21.1947     1.07
    1.13  -20.792     1.08
    1.14 -20.4005     1.09
    1.15 -20.0194     1.09
