 kgrid  ValNew  Policy 
    0.85 -28.5456     0.89
    0.86 -27.8138      0.9
    0.87 -27.0959      0.9
    0.88 -26.4036     0.91
    0.89 -25.7404     0.92
     0.9  -25.102     0.93
    0.91 -24.4891     0.94
    0.92 -23.8943     0.95
    0.93 -23.3111     0.95
    0.94 -22.7493     0.96
    0.95 -22.2054     0.97
    0.96 -21.6831     0.98
    0.97 -21.1758     0.99
    0.98  -20.687        1
    0.99 -20.2073        1
       1 -19.7413     1.01
    1.01 -19.2914     1.02
    1.02 -18.8562     1.03
    1.03 -18.4348     1.04
    1.04 -18.0274     1.05
    1.05 -17.6284     1.05
    1.06 -17.2392     1.06
    1.07 -16.8627     1.07
    1.08 -16.4978     1.08
    1.09 -16.1446     1.09
     1.1 -15.8023      1.1
    1.11 -15.4673      1.1
    1.12 -15.1397     1.11
    1.13  -14.822     1.12
    1.14 -14.5141     1.13
    1.15 -14.2155     1.14
