 kgrid  ValNew  Policy 
    0.85 -54.0087     0.85
    0.86 -52.7686     0.85
    0.87 -51.6924     0.85
    0.88 -50.7477     0.86
    0.89  -49.823     0.86
     0.9 -48.9433     0.87
    0.91 -48.1134     0.88
    0.92 -47.3077     0.89
    0.93 -46.5297      0.9
    0.94 -45.7625      0.9
    0.95 -45.0199     0.91
    0.96 -44.2972     0.92
    0.97 -43.5931     0.93
    0.98 -42.9066     0.94
    0.99 -42.2378     0.95
       1 -41.5853     0.96
    1.01 -40.9491     0.97
    1.02 -40.3272     0.98
    1.03 -39.7147     0.98
    1.04 -39.1149     0.99
    1.05 -38.5284        1
    1.06  -37.955     1.01
    1.07 -37.3943     1.02
    1.08 -36.8459     1.03
    1.09 -36.3106     1.04
     1.1 -35.7863     1.05
    1.11 -35.2739     1.06
    1.12 -34.7717     1.07
    1.13 -34.2796     1.07
    1.14 -33.7936     1.08
    1.15  -33.317     1.09
