 kgrid  ValNew  Policy 
    0.85 -43.8502     0.89
    0.86 -43.0653      0.9
    0.87 -42.3047     0.91
    0.88 -41.5666     0.92
    0.89 -40.8484     0.93
     0.9 -40.1488     0.94
    0.91 -39.4692     0.95
    0.92 -38.8068     0.96
    0.93 -38.1549     0.96
    0.94 -37.5197     0.97
    0.95 -36.8999     0.98
    0.96 -36.2959     0.99
    0.97 -35.7056        1
    0.98 -35.1302     1.01
    0.99 -34.5673     1.02
       1 -34.0188     1.03
    1.01  -33.482     1.04
    1.02 -32.9584     1.05
    1.03  -32.446     1.06
    1.04 -31.9455     1.07
    1.05 -31.4539     1.07
    1.06 -30.9708     1.08
    1.07 -30.4979     1.09
    1.08 -30.0358      1.1
    1.09 -29.5841     1.11
     1.1 -29.1428     1.12
    1.11 -28.7107     1.13
    1.12 -28.2881     1.14
    1.13 -27.8794     1.15
    1.14 -27.4842     1.15
    1.15 -27.1312     1.15
