 kgrid  ValNew  Policy 
    0.85 -36.1198     0.86
    0.86 -35.2495     0.87
    0.87 -34.4249     0.87
    0.88 -33.6228     0.88
    0.89 -32.8514     0.89
     0.9 -32.1115      0.9
    0.91  -31.402     0.91
    0.92 -30.7141     0.92
    0.93 -30.0424     0.92
    0.94 -29.3883     0.93
    0.95 -28.7554     0.94
    0.96 -28.1436     0.95
    0.97 -27.5501     0.96
    0.98 -26.9754     0.97
    0.99 -26.4192     0.98
       1 -25.8725     0.98
    1.01 -25.3395     0.99
    1.02 -24.8227        1
    1.03 -24.3201     1.01
    1.04  -23.833     1.02
    1.05 -23.3596     1.03
    1.06 -22.9015     1.04
    1.07  -22.451     1.04
    1.08 -22.0098     1.05
    1.09 -21.5819     1.06
     1.1 -21.1646     1.07
    1.11 -20.7598     1.08
    1.12 -20.3663     1.09
    1.13 -19.9844      1.1
    1.14 -19.6089      1.1
    1.15 -19.2409     1.11
