 kgrid  ValNew  Policy 
    0.85 -33.3964     0.85
    0.86 -32.4417     0.85
    0.87  -31.533     0.86
    0.88 -30.6835     0.87
    0.89 -29.8736     0.87
     0.9 -29.0932     0.88
    0.91 -28.3463     0.89
    0.92 -27.6337      0.9
    0.93 -26.9481     0.91
    0.94 -26.2753     0.91
    0.95 -25.6273     0.92
    0.96 -25.0036     0.93
    0.97  -24.405     0.94
    0.98 -23.8239     0.95
    0.99 -23.2598     0.95
       1 -22.7094     0.96
    1.01 -22.1765     0.97
    1.02 -21.6649     0.98
    1.03 -21.1679     0.99
    1.04  -20.689        1
    1.05 -20.2177        1
    1.06 -19.7601     1.01
    1.07 -19.3182     1.02
    1.08 -18.8908     1.03
    1.09  -18.477     1.04
     1.1 -18.0754     1.04
    1.11 -17.6795     1.05
    1.12 -17.2965     1.06
    1.13 -16.9261     1.07
    1.14  -16.567     1.08
    1.15 -16.2195     1.09
