 kgrid  ValNew  Policy 
    0.85 -40.1448     0.85
    0.86 -38.9048     0.85
    0.87 -37.8285     0.85
    0.88 -36.8906     0.85
    0.89 -35.9808     0.86
     0.9  -35.125     0.87
    0.91 -34.3243     0.88
    0.92 -33.5366     0.88
    0.93 -32.7769     0.89
    0.94 -32.0481      0.9
    0.95 -31.3494     0.91
    0.96 -30.6719     0.92
    0.97 -30.0136     0.92
    0.98 -29.3681     0.93
    0.99 -28.7436     0.94
       1 -28.1399     0.95
    1.01 -27.5542     0.96
    1.02  -26.987     0.97
    1.03 -26.4381     0.98
    1.04 -25.8959     0.98
    1.05  -25.369     0.99
    1.06 -24.8581        1
    1.07 -24.3613     1.01
    1.08 -23.8798     1.02
    1.09 -23.4118     1.03
     1.1 -22.9553     1.03
    1.11 -22.5072     1.04
    1.12 -22.0705     1.05
    1.13 -21.6469     1.06
    1.14 -21.2338     1.07
    1.15  -20.833     1.08
