 kgrid  ValNew  Policy 
    0.85  -40.158     0.86
    0.86  -39.282     0.87
    0.87 -38.4558     0.88
    0.88 -37.6439     0.88
    0.89 -36.8609     0.89
     0.9 -36.1059      0.9
    0.91 -35.3797     0.91
    0.92 -34.6749     0.92
    0.93 -33.9924     0.93
    0.94 -33.3301     0.93
    0.95 -32.6783     0.94
    0.96 -32.0468     0.95
    0.97  -31.432     0.96
    0.98 -30.8352     0.97
    0.99 -30.2536     0.98
       1 -29.6889     0.99
    1.01 -29.1398        1
    1.02  -28.606     1.01
    1.03 -28.0798     1.01
    1.04  -27.567     1.02
    1.05 -27.0676     1.03
    1.06 -26.5803     1.04
    1.07 -26.1056     1.05
    1.08 -25.6435     1.06
    1.09 -25.1933     1.07
     1.1  -24.755     1.08
    1.11 -24.3248     1.08
    1.12 -23.9022     1.09
    1.13 -23.4902      1.1
    1.14  -23.088     1.11
    1.15 -22.6957     1.12
