 kgrid  ValNew  Policy 
    0.85 -47.8234     0.85
    0.86 -46.5834     0.85
    0.87 -45.5071     0.85
    0.88 -44.5692     0.85
    0.89 -43.6446     0.86
     0.9 -42.7762     0.87
    0.91 -41.9565     0.88
    0.92 -41.1653     0.89
    0.93  -40.388     0.89
    0.94 -39.6336      0.9
    0.95 -38.9064     0.91
    0.96 -38.2005     0.92
    0.97 -37.5137     0.93
    0.98 -36.8477     0.94
    0.99 -36.1996     0.95
       1 -35.5649     0.95
    1.01 -34.9432     0.96
    1.02 -34.3367     0.97
    1.03 -33.7475     0.98
    1.04 -33.1708     0.99
    1.05 -32.6101        1
    1.06 -32.0627     1.01
    1.07 -31.5297     1.02
    1.08 -31.0092     1.03
    1.09 -30.4959     1.03
     1.1 -29.9942     1.04
    1.11  -29.504     1.05
    1.12 -29.0258     1.06
    1.13 -28.5586     1.07
    1.14 -28.1025     1.08
    1.15 -27.6574     1.09
