 kgrid  ValNew  Policy 
    0.85 -35.6308     0.85
    0.86 -34.3908     0.85
    0.87 -33.3145     0.85
    0.88 -32.3766     0.85
    0.89 -31.4752     0.86
     0.9 -30.6326     0.87
    0.91 -29.8343     0.87
    0.92 -29.0596     0.88
    0.93 -28.3183     0.89
    0.94  -27.611      0.9
    0.95 -26.9306     0.91
    0.96 -26.2641     0.91
    0.97 -25.6204     0.92
    0.98 -25.0009     0.93
    0.99 -24.4063     0.94
       1  -23.829     0.95
    1.01 -23.2678     0.95
    1.02 -22.7207     0.96
    1.03  -22.191     0.97
    1.04 -21.6824     0.98
    1.05 -21.1883     0.99
    1.06  -20.712     0.99
    1.07 -20.2411        1
    1.08  -19.786     1.01
    1.09 -19.3465     1.02
     1.1 -18.9214     1.03
    1.11 -18.5098     1.04
    1.12 -18.1069     1.04
    1.13  -17.713     1.05
    1.14 -17.3318     1.06
    1.15 -16.9631     1.07
