 kgrid  ValNew  Policy 
    0.85 -42.1556     0.87
    0.86 -41.3276     0.88
    0.87 -40.5286     0.89
    0.88 -39.7567      0.9
    0.89 -39.0126     0.91
     0.9 -38.2904     0.92
    0.91 -37.5879     0.93
    0.92 -36.9067     0.94
    0.93 -36.2439     0.95
    0.94 -35.5919     0.95
    0.95  -34.958     0.96
    0.96 -34.3397     0.97
    0.97 -33.7391     0.98
    0.98 -33.1515     0.99
    0.99 -32.5801        1
       1 -32.0224     1.01
    1.01 -31.4794     1.02
    1.02 -30.9493     1.03
    1.03 -30.4327     1.04
    1.04 -29.9239     1.04
    1.05 -29.4258     1.05
    1.06   -28.94     1.06
    1.07 -28.4655     1.07
    1.08 -28.0022     1.08
    1.09 -27.5502     1.09
     1.1 -27.1082      1.1
    1.11 -26.6766     1.11
    1.12  -26.255     1.12
    1.13 -25.8426     1.13
    1.14 -25.4372     1.13
    1.15 -25.0385     1.14
