 kgrid  ValNew  Policy 
    0.85 -31.6142     0.86
    0.86 -30.7571     0.87
    0.87 -29.9325     0.87
    0.88 -29.1458     0.88
    0.89 -28.3929     0.89
     0.9 -27.6744      0.9
    0.91 -26.9831      0.9
    0.92 -26.3018     0.91
    0.93 -25.6492     0.92
    0.94  -25.021     0.93
    0.95 -24.4181     0.94
    0.96 -23.8327     0.95
    0.97 -23.2641     0.95
    0.98 -22.7102     0.96
    0.99  -22.174     0.97
       1  -21.659     0.98
    1.01 -21.1588     0.99
    1.02 -20.6769        1
    1.03 -20.2041        1
    1.04 -19.7439     1.01
    1.05 -19.2996     1.02
    1.06 -18.8697     1.03
    1.07 -18.4536     1.04
    1.08 -18.0512     1.05
    1.09 -17.6543     1.05
     1.1 -17.2693     1.06
    1.11  -16.897     1.07
    1.12 -16.5361     1.08
    1.13 -16.1868     1.09
    1.14 -15.8471     1.09
    1.15 -15.5122      1.1
