 kgrid  ValNew  Policy 
    0.85 -40.6153     0.89
    0.86 -39.8364      0.9
    0.87 -39.0855     0.91
    0.88 -38.3568     0.92
    0.89 -37.6481     0.93
     0.9 -36.9609     0.94
    0.91 -36.2882     0.94
    0.92 -35.6302     0.95
    0.93 -34.9915     0.96
    0.94 -34.3687     0.97
    0.95 -33.7636     0.98
    0.96 -33.1717     0.99
    0.97 -32.5962        1
    0.98 -32.0345     1.01
    0.99 -31.4877     1.02
       1 -30.9539     1.03
    1.01 -30.4338     1.04
    1.02 -29.9217     1.04
    1.03 -29.4207     1.05
    1.04  -28.932     1.06
    1.05 -28.4547     1.07
    1.06 -27.9887     1.08
    1.07  -27.534     1.09
    1.08 -27.0895      1.1
    1.09 -26.6555     1.11
     1.1 -26.2316     1.12
    1.11 -25.8168     1.13
    1.12 -25.4113     1.14
    1.13 -25.0114     1.14
    1.14  -24.621     1.15
    1.15  -24.268     1.15
