 kgrid  ValNew  Policy 
    0.85    -45.4     0.88
    0.86 -44.5713     0.88
    0.87 -43.7635     0.89
    0.88 -42.9856      0.9
    0.89 -42.2318     0.91
     0.9 -41.5002     0.92
    0.91 -40.7882     0.93
    0.92 -40.0946     0.94
    0.93 -39.4208     0.95
    0.94 -38.7639     0.96
    0.95 -38.1214     0.96
    0.96 -37.4908     0.97
    0.97 -36.8754     0.98
    0.98 -36.2757     0.99
    0.99 -35.6895        1
       1 -35.1181     1.01
    1.01  -34.559     1.02
    1.02 -34.0142     1.03
    1.03  -33.481     1.04
    1.04 -32.9608     1.05
    1.05 -32.4517     1.06
    1.06 -31.9544     1.07
    1.07 -31.4647     1.07
    1.08 -30.9843     1.08
    1.09  -30.514     1.09
     1.1 -30.0544      1.1
    1.11 -29.6052     1.11
    1.12 -29.1663     1.12
    1.13 -28.7365     1.13
    1.14  -28.316     1.14
    1.15 -27.9095     1.15
