 kgrid  ValNew  Policy 
    0.85 -43.7836     0.86
    0.86 -42.9006     0.87
    0.87 -42.0669     0.88
    0.88  -41.255     0.88
    0.89 -40.4626     0.89
     0.9 -39.6971      0.9
    0.91 -38.9591     0.91
    0.92 -38.2428     0.92
    0.93  -37.546     0.93
    0.94 -36.8702     0.94
    0.95 -36.2128     0.95
    0.96 -35.5686     0.95
    0.97 -34.9391     0.96
    0.98  -34.325     0.97
    0.99 -33.7286     0.98
       1 -33.1448     0.99
    1.01 -32.5773        1
    1.02 -32.0232     1.01
    1.03 -31.4838     1.02
    1.04 -30.9571     1.03
    1.05 -30.4438     1.03
    1.06 -29.9368     1.04
    1.07 -29.4415     1.05
    1.08 -28.9584     1.06
    1.09 -28.4865     1.07
     1.1 -28.0257     1.08
    1.11 -27.5761     1.09
    1.12 -27.1365      1.1
    1.13 -26.7072     1.11
    1.14 -26.2879     1.12
    1.15 -25.8765     1.12
