 kgrid  ValNew  Policy 
    0.85  -45.589     0.85
    0.86 -44.6343     0.85
    0.87 -43.7025     0.86
    0.88 -42.8271     0.87
    0.89 -42.0007     0.88
     0.9 -41.2024     0.88
    0.91  -40.416     0.89
    0.92 -39.6563      0.9
    0.93 -38.9239     0.91
    0.94 -38.2131     0.92
    0.95 -37.5215     0.93
    0.96 -36.8508     0.94
    0.97 -36.1982     0.95
    0.98 -35.5598     0.95
    0.99 -34.9343     0.96
       1 -34.3242     0.97
    1.01 -33.7314     0.98
    1.02 -33.1514     0.99
    1.03 -32.5873        1
    1.04 -32.0367     1.01
    1.05 -31.5006     1.02
    1.06 -30.9771     1.03
    1.07 -30.4645     1.03
    1.08 -29.9602     1.04
    1.09 -29.4675     1.05
     1.1  -28.987     1.06
    1.11 -28.5175     1.07
    1.12 -28.0591     1.08
    1.13 -27.6118     1.09
    1.14 -27.1745      1.1
    1.15 -26.7473     1.11
