 kgrid  ValNew  Policy 
    0.85 -34.5044     0.87
    0.86 -33.6954     0.88
    0.87 -32.9175     0.89
    0.88 -32.1712      0.9
    0.89 -31.4555     0.91
     0.9 -30.7617     0.92
    0.91 -30.0798     0.92
    0.92 -29.4208     0.93
    0.93 -28.7832     0.94
    0.94 -28.1669     0.95
    0.95  -27.569     0.96
    0.96   -26.99     0.97
    0.97 -26.4298     0.98
    0.98 -25.8785     0.98
    0.99  -25.342     0.99
       1 -24.8219        1
    1.01 -24.3162     1.01
    1.02  -23.826     1.02
    1.03 -23.3496     1.03
    1.04 -22.8886     1.04
    1.05 -22.4369     1.04
    1.06 -21.9933     1.05
    1.07  -21.563     1.06
    1.08 -21.1434     1.07
    1.09 -20.7364     1.08
     1.1 -20.3408     1.09
    1.11 -19.9568      1.1
    1.12 -19.5822      1.1
    1.13 -19.2123     1.11
    1.14 -18.8523     1.12
    1.15 -18.5015     1.13
