 kgrid  ValNew  Policy 
    0.85  -30.012     0.87
    0.86 -29.2184     0.88
    0.87 -28.4589     0.89
    0.88 -27.7341      0.9
    0.89 -27.0309      0.9
     0.9 -26.3443     0.91
    0.91 -25.6866     0.92
    0.92 -25.0536     0.93
    0.93 -24.4459     0.94
    0.94  -23.856     0.95
    0.95 -23.2811     0.95
    0.96 -22.7234     0.96
    0.97 -22.1835     0.97
    0.98  -21.665     0.98
    0.99 -21.1614     0.99
       1 -20.6761        1
    1.01 -20.2006        1
    1.02 -19.7376     1.01
    1.03 -19.2906     1.02
    1.04 -18.8581     1.03
    1.05 -18.4395     1.04
    1.06 -18.0347     1.05
    1.07 -17.6372     1.05
    1.08 -17.2502     1.06
    1.09 -16.8759     1.07
     1.1  -16.513     1.08
    1.11 -16.1618     1.09
    1.12 -15.8215      1.1
    1.13 -15.4863      1.1
    1.14 -15.1604     1.11
    1.15 -14.8443     1.12
