 kgrid  ValNew  Policy 
    0.85 -33.0042     0.89
    0.86 -32.2508      0.9
    0.87 -31.5285     0.91
    0.88 -30.8224     0.91
    0.89 -30.1336     0.92
     0.9 -29.4692     0.93
    0.91 -28.8265     0.94
    0.92 -28.2052     0.95
    0.93 -27.6025     0.96
    0.94  -27.019     0.97
    0.95  -26.453     0.97
    0.96 -25.8966     0.98
    0.97 -25.3565     0.99
    0.98 -24.8328        1
    0.99 -24.3236     1.01
       1 -23.8301     1.02
    1.01 -23.3505     1.03
    1.02 -22.8865     1.04
    1.03 -22.4322     1.04
    1.04  -21.986     1.05
    1.05 -21.5532     1.06
    1.06 -21.1312     1.07
    1.07 -20.7219     1.08
    1.08  -20.324     1.09
    1.09 -19.9378      1.1
     1.1 -19.5615     1.11
    1.11 -19.1913     1.11
    1.12 -18.8295     1.12
    1.13 -18.4769     1.13
    1.14 -18.1345     1.14
    1.15 -17.8012     1.15
