 kgrid  ValNew  Policy 
    0.85  -49.962     0.86
    0.86 -49.0677     0.87
    0.87 -48.2238     0.88
    0.88 -47.4046     0.89
    0.89  -46.605     0.89
     0.9  -45.826      0.9
    0.91 -45.0725     0.91
    0.92 -44.3395     0.92
    0.93 -43.6253     0.93
    0.94 -42.9291     0.94
    0.95  -42.251     0.95
    0.96 -41.5894     0.96
    0.97 -40.9445     0.97
    0.98 -40.3142     0.98
    0.99 -39.6957     0.98
       1 -39.0888     0.99
    1.01 -38.4955        1
    1.02 -37.9155     1.01
    1.03 -37.3484     1.02
    1.04 -36.7938     1.03
    1.05 -36.2525     1.04
    1.06 -35.7224     1.05
    1.07 -35.2044     1.06
    1.08 -34.6967     1.07
    1.09 -34.2002     1.08
     1.1 -33.7136     1.09
    1.11 -33.2357     1.09
    1.12 -32.7648      1.1
    1.13 -32.3031     1.11
    1.14 -31.8508     1.12
    1.15 -31.4091     1.13
