 kgrid  ValNew  Policy 
    0.85 -48.3133     0.88
    0.86 -47.4845     0.88
    0.87  -46.671     0.89
    0.88 -45.8856      0.9
    0.89  -45.126     0.91
     0.9 -44.3871     0.92
    0.91 -43.6673     0.93
    0.92 -42.9655     0.94
    0.93 -42.2821     0.95
    0.94 -41.6155     0.96
    0.95 -40.9656     0.97
    0.96 -40.3306     0.98
    0.97 -39.7063     0.98
    0.98 -39.0955     0.99
    0.99 -38.4984        1
       1 -37.9147     1.01
    1.01 -37.3441     1.02
    1.02  -36.786     1.03
    1.03 -36.2414     1.04
    1.04 -35.7081     1.05
    1.05 -35.1869     1.06
    1.06 -34.6762     1.07
    1.07 -34.1769     1.08
    1.08 -33.6875     1.09
    1.09 -33.2083      1.1
     1.1 -32.7365      1.1
    1.11 -32.2725     1.11
    1.12  -31.818     1.12
    1.13 -31.3742     1.13
    1.14 -30.9407     1.14
    1.15 -30.5234     1.15
